-1,-1,-1,-1,-1,-1,-1,184,184,184,-1,-1,184,184,-1,-1,-1,-1,-1,-1,-1,-1,185,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
187,-1,-1,-1,-1,187,-1,184,184,184,187,-1,184,184,-1,-1,187,-1,-1,-1,-1,-1,-1,-1,-1,-1,187,-1,-1,-1,-1,-1,-1,186,-1,-1,-1,-1,-1,-1,-1,187,-1,-1,-1,-1,-1,-1,-1,-1,186,-1,-1,231,232,-1
-1,-1,-1,204,208,189,-1,184,184,184,-1,-1,184,184,187,-1,-1,-1,-1,186,-1,-1,-1,-1,-1,-1,-1,-1,186,-1,-1,-1,-1,-1,-1,-1,-1,-1,185,-1,-1,-1,-1,-1,-1,-1,-1,-1,187,-1,-1,-1,-1,32,30,36
-1,187,-1,17,17,17,-1,230,230,230,-1,-1,184,184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,187,-1,-1,-1,-1,-1,-1,-1,-1,186,-1,-1,-1,-1,-1,-1,-1,-1,19,19,19
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,187,-1,230,230,-1,-1,185,-1,-1,-1,187,-1,-1,-1,-1,186,-1,-1,-1,-1,-1,187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,186,-1,-1,-1,-1,19,19,19
-1,-1,-1,-1,187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,186,187,-1,-1,-1,-1,187,187,-1,-1,-1,-1,-1,-1,-1,19,19,19
187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,19,19
-1,-1,-1,-1,-1,-1,-1,-1,187,-1,-1,-1,-1,-1,-1,241,165,165,242,-1,-1,-1,186,-1,-1,-1,186,-1,-1,-1,-1,-1,-1,190,-1,-1,-1,187,-1,-1,-1,-1,-1,-1,-1,-1,186,-1,-1,-1,-1,187,-1,19,19,19
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,160,150,150,161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,241,165,165,165,242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,186,-1,-1,-1,-1,-1,-1,96,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,220,241,150,150,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,160,150,150,150,161,165,-1,-1,-1,-1,185,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96,-1,-1
220,219,128,219,-1,-1,-1,-1,-1,-1,-1,-1,221,241,160,150,150,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,150,150,150,150,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,190,189,189,96,-1,194
165,165,165,165,242,-1,-1,-1,219,219,190,221,241,150,150,150,150,150,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,241,165,150,150,150,150,150,150,-1,-1,-1,-1,190,-1,-1,-1,-1,-1,16,16,16,17,17,17,19,19,19
150,150,150,150,161,187,187,187,153,165,165,165,160,150,150,150,150,150,150,-1,-1,-1,-1,-1,190,190,-1,-1,-1,160,150,150,150,150,150,150,150,-1,-1,241,165,165,165,242,-1,16,16,185,-1,-1,-1,-1,-1,241,165,165
150,150,150,150,150,186,186,186,-1,150,150,150,150,150,150,150,150,150,150,186,186,186,241,165,165,165,165,242,-1,150,150,150,150,150,150,150,150,186,186,160,150,150,150,161,186,186,186,186,186,186,186,186,186,160,150,150
150,150,150,150,150,185,185,185,-1,150,150,150,150,150,150,150,150,150,150,185,185,185,160,150,150,150,150,161,185,150,150,150,150,150,150,150,150,185,185,150,150,150,150,150,185,185,185,185,185,185,185,185,185,150,150,150
